Code postal;Commune;Ancienne commune;Département;Nom département;Région
01000;ST DENIS LES BOURG;;01;Ain;Auvergne-Rhône-Alpes
01000;BOURG EN BRESSE;BROU;01;Ain;Auvergne-Rhône-Alpes
01000;BOURG EN BRESSE;;01;Ain;Auvergne-Rhône-Alpes
01090;GENOUILLEUX;;01;Ain;Auvergne-Rhône-Alpes
01090;LURCY;;01;Ain;Auvergne-Rhône-Alpes
01090;MONTCEAUX;;01;Ain;Auvergne-Rhône-Alpes
01090;MONTMERLE SUR SAONE;;01;Ain;Auvergne-Rhône-Alpes
01090;FRANCHELEINS;;01;Ain;Auvergne-Rhône-Alpes
01090;GUEREINS;;01;Ain;Auvergne-Rhône-Alpes
01090;FRANCHELEINS;AMAREINS;01;Ain;Auvergne-Rhône-Alpes
01090;FRANCHELEINS;CESSEINS;01;Ain;Auvergne-Rhône-Alpes
01100;MARTIGNAT;;01;Ain;Auvergne-Rhône-Alpes
01100;OYONNAX;VEYZIAT;01;Ain;Auvergne-Rhône-Alpes
01100;APREMONT;;01;Ain;Auvergne-Rhône-Alpes
01100;BELLIGNAT;;01;Ain;Auvergne-Rhône-Alpes
01100;OYONNAX;BOUVENT;01;Ain;Auvergne-Rhône-Alpes
01100;ARBENT;;01;Ain;Auvergne-Rhône-Alpes
01100;GEOVREISSET;;01;Ain;Auvergne-Rhône-Alpes
01100;GROISSIAT;;01;Ain;Auvergne-Rhône-Alpes
01100;OYONNAX;;01;Ain;Auvergne-Rhône-Alpes
01110;ARANC;;01;Ain;Auvergne-Rhône-Alpes
01110;PLATEAU D HAUTEVILLE;THEZILLIEU;01;Ain;Auvergne-Rhône-Alpes
01110;CHAMPDOR CORCELLES;CORCELLES;01;Ain;Auvergne-Rhône-Alpes
01110;CORLIER;;01;Ain;Auvergne-Rhône-Alpes
01110;PREMILLIEU;;01;Ain;Auvergne-Rhône-Alpes
01110;BRENOD;;01;Ain;Auvergne-Rhône-Alpes
01110;PLATEAU D HAUTEVILLE;HAUTEVILLE LOMPNES;01;Ain;Auvergne-Rhône-Alpes
01110;PLATEAU D HAUTEVILLE;HOSTIAZ;01;Ain;Auvergne-Rhône-Alpes
01110;CHAMPDOR CORCELLES;CHAMPDOR;01;Ain;Auvergne-Rhône-Alpes
01110;PLATEAU D HAUTEVILLE;CORMARANCHE EN BUGEY;01;Ain;Auvergne-Rhône-Alpes
01120;LA BOISSE;;01;Ain;Auvergne-Rhône-Alpes
01120;DAGNEUX;;01;Ain;Auvergne-Rhône-Alpes
01120;MONTLUEL;CORDIEUX;01;Ain;Auvergne-Rhône-Alpes
01120;PIZAY;;01;Ain;Auvergne-Rhône-Alpes
01120;STE CROIX;;01;Ain;Auvergne-Rhône-Alpes
01120;MONTLUEL;;01;Ain;Auvergne-Rhône-Alpes
01120;MONTLUEL;JAILLEUX;01;Ain;Auvergne-Rhône-Alpes
01120;NIEVROZ;;01;Ain;Auvergne-Rhône-Alpes
01120;THIL;;01;Ain;Auvergne-Rhône-Alpes
01130;GIRON;;01;Ain;Auvergne-Rhône-Alpes
01130;NANTUA;;01;Ain;Auvergne-Rhône-Alpes
01130;LES NEYROLLES;;01;Ain;Auvergne-Rhône-Alpes
01130;BELLEYDOUX;;01;Ain;Auvergne-Rhône-Alpes
01130;CHARIX;;01;Ain;Auvergne-Rhône-Alpes
01130;ECHALLON;;01;Ain;Auvergne-Rhône-Alpes
01130;LE POIZAT LALLEYRIAT;LALLEYRIAT;01;Ain;Auvergne-Rhône-Alpes
01130;LE POIZAT LALLEYRIAT;LE POIZAT;01;Ain;Auvergne-Rhône-Alpes
01130;PLAGNE;;01;Ain;Auvergne-Rhône-Alpes
01130;ST GERMAIN DE JOUX;;01;Ain;Auvergne-Rhône-Alpes
01140;ILLIAT;;01;Ain;Auvergne-Rhône-Alpes
01140;MOGNENEINS;;01;Ain;Auvergne-Rhône-Alpes
01140;ST ETIENNE SUR CHALARONNE;;01;Ain;Auvergne-Rhône-Alpes
01140;GARNERANS;;01;Ain;Auvergne-Rhône-Alpes
01140;THOISSEY;;01;Ain;Auvergne-Rhône-Alpes
01140;VALEINS;;01;Ain;Auvergne-Rhône-Alpes
01140;PEYZIEUX SUR SAONE;;01;Ain;Auvergne-Rhône-Alpes
01140;ST DIDIER SUR CHALARONNE;;01;Ain;Auvergne-Rhône-Alpes
01150;STE JULIE;;01;Ain;Auvergne-Rhône-Alpes
01150;ST VULBAS;;01;Ain;Auvergne-Rhône-Alpes
01150;CHAZEY SUR AIN;;01;Ain;Auvergne-Rhône-Alpes
01150;SAULT BRENAZ;;01;Ain;Auvergne-Rhône-Alpes
01150;SOUCLIN;;01;Ain;Auvergne-Rhône-Alpes
01150;VILLEBOIS;;01;Ain;Auvergne-Rhône-Alpes
01150;LAGNIEU;;01;Ain;Auvergne-Rhône-Alpes
01150;LEYMENT;;01;Ain;Auvergne-Rhône-Alpes
01150;BLYES;;01;Ain;Auvergne-Rhône-Alpes
01150;ST SORLIN EN BUGEY;;01;Ain;Auvergne-Rhône-Alpes
01150;VAUX EN BUGEY;;01;Ain;Auvergne-Rhône-Alpes
01160;DRUILLAT;;01;Ain;Auvergne-Rhône-Alpes
01160;NEUVILLE SUR AIN;;01;Ain;Auvergne-Rhône-Alpes
01160;PONT D AIN;;01;Ain;Auvergne-Rhône-Alpes
01160;ST MARTIN DU MONT;;01;Ain;Auvergne-Rhône-Alpes
01160;PRIAY;;01;Ain;Auvergne-Rhône-Alpes
01160;LA TRANCLIERE;;01;Ain;Auvergne-Rhône-Alpes
01160;VARAMBON;;01;Ain;Auvergne-Rhône-Alpes
01170;ECHENEVEX;;01;Ain;Auvergne-Rhône-Alpes
01170;CESSY;;01;Ain;Auvergne-Rhône-Alpes
01170;MIJOUX;;01;Ain;Auvergne-Rhône-Alpes
01170;CHEVRY;;01;Ain;Auvergne-Rhône-Alpes
01170;CROZET;;01;Ain;Auvergne-Rhône-Alpes
01170;VESANCY;;01;Ain;Auvergne-Rhône-Alpes
01170;GEX;;01;Ain;Auvergne-Rhône-Alpes
01170;SEGNY;;01;Ain;Auvergne-Rhône-Alpes
01190;BOISSEY;;01;Ain;Auvergne-Rhône-Alpes
01190;OZAN;;01;Ain;Auvergne-Rhône-Alpes
01190;BOZ;;01;Ain;Auvergne-Rhône-Alpes
01190;CHAVANNES SUR REYSSOUZE;;01;Ain;Auvergne-Rhône-Alpes
01190;PONT DE VAUX;;01;Ain;Auvergne-Rhône-Alpes
01190;ARBIGNY;;01;Ain;Auvergne-Rhône-Alpes
01190;CHEVROUX;;01;Ain;Auvergne-Rhône-Alpes
